epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,321.808,0.33627,0.45437,0.94248,0.9467,0.9251,0.97683,0.90855,0.38403,0.48937,0.93246,0.0005248,0.0005248,0.0005248
74,326.234,0.3513,0.43649,0.93781,0.95528,0.93071,0.97307,0.91235,0.3599,0.45178,0.92358,0.0005182,0.0005182,0.0005182
75,330.576,0.33467,0.43863,0.95575,0.93374,0.9147,0.97188,0.90981,0.36479,0.41863,0.91681,0.0005116,0.0005116,0.0005116
76,335.117,0.33386,0.44968,0.94337,0.90879,0.89528,0.9765,0.91237,0.36278,0.40482,0.92495,0.000505,0.000505,0.000505
77,339.567,0.33342,0.43022,0.93297,0.89742,0.91315,0.97002,0.90992,0.35272,0.50743,0.92365,0.0004984,0.0004984,0.0004984
78,343.927,0.34583,0.44916,0.92965,0.92794,0.90224,0.97698,0.90783,0.37633,0.45837,0.92649,0.0004918,0.0004918,0.0004918
79,348.273,0.3555,0.44685,0.94614,0.95564,0.88179,0.98812,0.92937,0.36972,0.4259,0.92854,0.0004852,0.0004852,0.0004852
80,352.562,0.3302,0.41274,0.95017,0.90997,0.91156,0.98816,0.91969,0.38931,0.42463,0.93309,0.0004786,0.0004786,0.0004786
81,356.869,0.34592,0.39778,0.93352,0.866,0.99441,0.98483,0.92716,0.37011,0.40816,0.93694,0.000472,0.000472,0.000472
82,361.218,0.3417,0.4268,0.94569,0.92017,0.9432,0.97332,0.92059,0.37145,0.39074,0.92895,0.0004654,0.0004654,0.0004654
83,365.585,0.32133,0.41053,0.94588,0.94243,0.93927,0.9845,0.92905,0.36011,0.39234,0.91609,0.0004588,0.0004588,0.0004588
84,370.018,0.31184,0.39159,0.9262,0.93842,0.92974,0.9742,0.91703,0.34594,0.38913,0.91892,0.0004522,0.0004522,0.0004522
85,374.456,0.31856,0.39764,0.93318,0.9241,0.94228,0.9739,0.91064,0.34446,0.41644,0.91112,0.0004456,0.0004456,0.0004456
86,379.05,0.31512,0.39037,0.9276,0.93077,0.92267,0.97088,0.92258,0.36127,0.41845,0.92978,0.000439,0.000439,0.000439
87,383.463,0.312,0.38687,0.93082,0.92784,0.92889,0.98156,0.9298,0.3613,0.42293,0.92266,0.0004324,0.0004324,0.0004324
88,387.867,0.3205,0.37535,0.93171,0.91911,0.90788,0.96795,0.9149,0.35366,0.45107,0.92285,0.0004258,0.0004258,0.0004258
89,392.188,0.32428,0.40431,0.93752,0.91392,0.92811,0.96823,0.91974,0.34975,0.40561,0.9268,0.0004192,0.0004192,0.0004192
90,396.607,0.37142,0.41112,0.93899,0.84048,0.92093,0.97663,0.92692,0.38021,0.63923,0.93473,0.0004126,0.0004126,0.0004126
91,401.025,0.31897,0.39185,0.94216,0.8964,0.93151,0.98042,0.92448,0.35542,0.43834,0.92246,0.000406,0.000406,0.000406
